LocID,PerilID,CoverageTypeID,Message
121,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
122,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
123,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
124,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
125,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
126,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
127,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
128,1,1,Successful peril area lookup: 57; Vulnerability lookup: invalid key column value(s) for location
129,1,1,Successful peril area lookup: 64; Vulnerability lookup: invalid key column value(s) for location
130,1,1,Successful peril area lookup: 64; Vulnerability lookup: invalid key column value(s) for location
131,1,1,Successful peril area lookup: 64; Vulnerability lookup: invalid key column value(s) for location
132,1,1,Successful peril area lookup: 64; Vulnerability lookup: invalid key column value(s) for location
133,1,1,Successful peril area lookup: 64; Vulnerability lookup: invalid key column value(s) for location
134,1,1,Successful peril area lookup: 64; Vulnerability lookup: invalid key column value(s) for location
135,1,1,Successful peril area lookup: 64; Vulnerability lookup: invalid key column value(s) for location
136,1,1,Successful peril area lookup: 64; Vulnerability lookup: invalid key column value(s) for location
137,1,1,Successful peril area lookup: 64; Vulnerability lookup: invalid key column value(s) for location
138,1,1,Successful peril area lookup: 64; Vulnerability lookup: invalid key column value(s) for location
139,1,1,Successful peril area lookup: 64; Vulnerability lookup: invalid key column value(s) for location
140,1,1,Successful peril area lookup: 64; Vulnerability lookup: invalid key column value(s) for location
141,1,1,Successful peril area lookup: 64; Vulnerability lookup: invalid key column value(s) for location
142,1,1,Successful peril area lookup: 64; Vulnerability lookup: invalid key column value(s) for location
143,1,1,Successful peril area lookup: 64; Vulnerability lookup: invalid key column value(s) for location
144,1,1,Successful peril area lookup: 64; Vulnerability lookup: invalid key column value(s) for location
145,1,1,Successful peril area lookup: 64; Vulnerability lookup: invalid key column value(s) for location
146,1,1,Successful peril area lookup: 63; Vulnerability lookup: invalid key column value(s) for location
147,1,1,Successful peril area lookup: 63; Vulnerability lookup: invalid key column value(s) for location
148,1,1,Successful peril area lookup: 63; Vulnerability lookup: invalid key column value(s) for location
149,1,1,Successful peril area lookup: 63; Vulnerability lookup: invalid key column value(s) for location
150,1,1,Successful peril area lookup: 63; Vulnerability lookup: invalid key column value(s) for location
151,1,1,Successful peril area lookup: 63; Vulnerability lookup: invalid key column value(s) for location
152,1,1,Successful peril area lookup: 63; Vulnerability lookup: invalid key column value(s) for location
153,1,1,Successful peril area lookup: 63; Vulnerability lookup: invalid key column value(s) for location
